,Unnamed: 0,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
105,8715,-118.37,33.85,25.0,5622.0,998.0,2537.0,1009.0,5.785,329048.11,<1H OCEAN
106,2940,-118.96,35.37,32.0,1025.0,259.0,874.0,236.0,1.9612,58336.0,INLAND
107,16608,-120.64,35.65,9.0,3466.0,673.0,2356.0,619.0,2.9926,154123.0,<1H OCEAN
108,3718,-118.41,34.19,42.0,779.0,145.0,450.0,148.0,3.9792,189571.0,<1H OCEAN
109,9360,-122.53,37.95,22.0,7446.0,1979.0,2980.0,1888.0,3.5838,235923.0,NEAR BAY
110,13497,-117.33,34.15,28.0,1473.0,333.0,1196.0,312.0,1.6993,81120.0,INLAND
111,12218,-117.23,33.57,6.0,13724.0,2269.0,5860.0,1986.0,3.9617,176619.0,<1H OCEAN
112,9616,-120.44,37.28,12.0,2855.0,598.0,1658.0,586.0,2.3929,98720.0,INLAND
113,12149,-117.2,33.7,23.0,6323.0,1196.0,1984.0,1124.0,2.3276,136239.0,<1H OCEAN
114,12896,-121.34,38.64,12.0,2772.0,578.0,1335.0,565.0,3.8068,114350.0,INLAND
115,13581,-117.28,34.12,36.0,2991.0,822.0,2378.0,751.0,1.3571,74548.0,INLAND
116,19824,-119.48,36.5,32.0,3451.0,625.0,1968.0,574.0,2.9554,77638.0,INLAND
117,18617,-122.04,37.04,17.0,4977.0,994.0,1987.0,947.0,3.8854,259893.02,NEAR OCEAN
118,5340,-118.45,34.03,39.0,1657.0,402.0,931.0,363.0,3.7813,441278.51,<1H OCEAN
119,12036,-117.47,33.92,18.0,3869.0,773.0,2500.0,726.0,3.6583,134035.0,INLAND
120,1551,-121.94,37.75,16.0,5121.0,735.0,2464.0,761.0,6.6204,324762.03,<1H OCEAN
121,13852,-117.28,34.51,10.0,4676.0,884.0,2845.0,812.0,3.0181,95743.0,INLAND
122,16621,-120.95,35.44,30.0,6346.0,1410.0,1769.0,887.0,2.6864,232345.0,NEAR OCEAN
123,6341,-117.9,33.97,23.0,7353.0,1255.0,4014.0,1124.0,5.4155,265466.0,<1H OCEAN
124,1045,-120.77,38.38,15.0,4221.0,816.0,1737.0,743.0,2.3125,117663.0,INLAND
125,15091,-116.93,32.8,19.0,1867.0,538.0,1219.0,468.0,2.0685,130109.0,<1H OCEAN
126,8163,-118.13,33.81,34.0,1903.0,343.0,928.0,349.0,5.395,259389.0,<1H OCEAN
127,11915,-117.4,33.95,46.0,2189.0,423.0,866.0,389.0,3.1384,118797.0,INLAND
128,1397,-122.07,37.96,34.0,1692.0,290.0,836.0,289.0,5.0172,208271.0,NEAR BAY
129,9456,-123.71,39.88,42.0,1518.0,383.0,656.0,303.0,1.4952,98248.0,NEAR OCEAN
130,19333,-122.72,38.58,4.0,7042.0,1100.0,2936.0,1043.0,5.0555,233711.0,<1H OCEAN
131,10625,-117.77,33.72,9.0,2153.0,316.0,954.0,324.0,7.8139,346415.0,<1H OCEAN
132,6172,-117.93,34.07,34.0,1409.0,305.0,819.0,273.0,3.3977,171989.0,<1H OCEAN
133,8854,-118.41,34.07,52.0,1202.0,142.0,408.0,138.0,15.0001,500001.0,<1H OCEAN
134,9247,-120.07,36.97,28.0,1563.0,403.0,1564.0,408.0,1.5662,70203.0,INLAND
135,20001,-119.27,36.05,29.0,1016.0,174.0,481.0,140.0,2.2917,65649.99,INLAND
136,9650,-120.82,37.05,15.0,1385.0,288.0,775.0,255.0,1.933,88517.0,INLAND
137,12569,-121.43,38.54,42.0,3321.0,688.0,1346.0,658.0,2.4618,110857.0,INLAND
138,17391,-120.44,34.96,30.0,1685.0,315.0,1290.0,368.0,3.4722,153820.0,<1H OCEAN
139,20119,-120.35,37.95,13.0,2104.0,407.0,960.0,401.0,2.4,116700.0,INLAND
140,7452,-118.17,33.95,23.0,1991.0,584.0,1380.0,535.0,1.9107,158308.0,<1H OCEAN
141,1168,-121.57,39.5,31.0,2023.0,469.0,1073.0,436.0,1.5714,60370.0,INLAND
142,10278,-117.82,33.88,18.0,1982.0,300.0,1027.0,324.0,7.0526,284448.0,<1H OCEAN
143,17838,-121.9,37.44,4.0,1646.0,408.0,853.0,410.0,5.0821,236379.01,<1H OCEAN
144,12638,-121.45,38.54,38.0,1865.0,384.0,1052.0,354.0,1.7891,79883.0,INLAND
145,2240,-119.81,36.83,19.0,6789.0,1200.0,2325.0,1109.0,4.049,137975.0,INLAND
146,8790,-118.36,33.8,34.0,2629.0,369.0,966.0,375.0,10.1241,499721.99,NEAR OCEAN
147,10483,-117.68,33.59,8.0,2327.0,263.0,899.0,236.0,14.9009,487949.49,<1H OCEAN
148,7886,-118.04,33.88,17.0,4807.0,838.0,3059.0,853.0,5.7619,287270.02,<1H OCEAN
149,5437,-118.43,34.01,41.0,1527.0,279.0,746.0,285.0,6.4232,453228.5,<1H OCEAN
150,19227,-122.71,38.5,15.0,5645.0,830.0,2324.0,769.0,6.6104,341115.05,<1H OCEAN
151,9866,-121.83,36.6,30.0,2748.0,502.0,1491.0,535.0,4.3472,223274.0,<1H OCEAN
152,16636,-120.82,35.31,16.0,3924.0,699.0,1325.0,638.0,2.5172,211921.0,NEAR OCEAN
153,9224,-120.06,36.95,24.0,646.0,134.0,454.0,149.0,2.125,68644.95,INLAND
154,684,-122.14,37.68,31.0,3184.0,716.0,1561.0,628.0,2.7955,163111.0,NEAR BAY
155,12378,-116.46,33.78,25.0,1137.0,414.0,604.0,240.0,1.3801,87554.0,INLAND
156,16487,-121.09,38.19,23.0,762.0,140.0,358.0,141.0,2.4545,116484.0,INLAND
157,13062,-121.32,38.57,15.0,3369.0,499.0,1733.0,470.0,5.31,173594.0,INLAND
158,19488,-120.99,37.66,30.0,1718.0,395.0,914.0,400.0,1.933,90827.0,INLAND
159,207,-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,134270.0,NEAR BAY
160,16145,-122.47,37.78,52.0,2169.0,522.0,1220.0,505.0,3.1989,405783.09,NEAR BAY
161,10737,-117.91,33.61,40.0,2790.0,531.0,952.0,424.0,4.8,335745.07,<1H OCEAN
162,20617,-121.53,39.06,20.0,561.0,109.0,308.0,114.0,3.3021,102962.0,INLAND
163,14685,-117.04,32.83,8.0,2205.0,348.0,777.0,341.0,6.0266,276265.01,<1H OCEAN
164,6729,-118.13,34.11,52.0,2568.0,345.0,1102.0,345.0,9.1373,495347.94,<1H OCEAN
165,1678,-122.32,38.06,4.0,7999.0,1611.0,3596.0,1396.0,5.0969,201859.0,NEAR BAY
166,1010,-121.73,37.68,17.0,20354.0,3493.0,8768.0,3293.0,5.4496,228059.0,INLAND
167,2843,-118.98,35.4,36.0,1864.0,331.0,1052.0,325.0,3.4205,85940.0,INLAND
168,17641,-121.9,37.25,28.0,2714.0,502.0,1389.0,490.0,5.7385,307688.03,<1H OCEAN
169,12979,-121.3,38.69,13.0,2135.0,429.0,779.0,432.0,3.6995,129898.0,INLAND
170,2712,-115.64,32.75,19.0,377.0,69.0,198.0,55.0,1.625,68687.0,INLAND
171,10967,-117.89,33.76,34.0,1050.0,210.0,723.0,201.0,4.8,192721.0,<1H OCEAN
172,8429,-118.36,33.92,46.0,1231.0,231.0,793.0,256.0,4.1023,323440.03,<1H OCEAN
173,14743,-117.06,32.58,11.0,2879.0,679.0,2098.0,673.0,3.5125,138729.0,NEAR OCEAN
174,2753,-115.49,32.67,25.0,2322.0,573.0,2185.0,602.0,1.375,67533.0,INLAND
175,13560,-117.31,34.09,34.0,1336.0,345.0,1009.0,311.0,1.608,71494.0,INLAND
176,10039,-121.03,39.21,28.0,2843.0,535.0,1310.0,525.0,3.2337,154195.0,INLAND
177,14181,-117.05,32.72,35.0,1777.0,369.0,1158.0,353.0,3.4107,143204.0,NEAR OCEAN
178,10105,-117.95,33.92,18.0,2825.0,660.0,1590.0,643.0,3.6106,187712.0,<1H OCEAN
179,3003,-119.01,35.31,19.0,7092.0,1517.0,4101.0,1436.0,2.1006,72684.0,INLAND
180,20189,-119.17,34.27,18.0,8010.0,1539.0,3982.0,1483.0,4.0905,247090.04,NEAR OCEAN
181,6687,-118.07,34.14,42.0,3200.0,685.0,1668.0,628.0,3.375,246019.0,INLAND
182,18885,-122.23,38.1,46.0,4143.0,895.0,2240.0,847.0,2.4201,130919.01,NEAR BAY
183,6343,-117.75,34.06,52.0,62.0,9.0,44.0,16.0,0.4999,329578.5,INLAND
184,7646,-118.27,33.81,42.0,865.0,208.0,811.0,218.0,3.8621,214490.0,<1H OCEAN
185,16316,-121.32,38.0,21.0,1795.0,482.0,1114.0,472.0,2.0091,97306.0,INLAND
186,20041,-118.99,36.06,19.0,2153.0,458.0,1317.0,386.0,1.7564,58634.99,INLAND
187,18706,-122.37,40.54,28.0,2213.0,390.0,1096.0,378.0,3.6923,114287.0,INLAND
188,20068,-120.39,37.98,52.0,1056.0,274.0,584.0,255.0,2.1513,105432.0,INLAND
189,4243,-118.33,34.11,48.0,1601.0,464.0,784.0,461.0,3.0642,321024.02,<1H OCEAN
190,7794,-118.08,33.89,37.0,1152.0,259.0,981.0,225.0,3.2857,181957.0,<1H OCEAN
191,15379,-117.25,33.36,6.0,3725.0,960.0,2833.0,915.0,2.3214,154516.0,<1H OCEAN
192,19890,-119.15,36.29,18.0,1435.0,,657.0,254.0,2.4281,77778.0,INLAND
193,13366,-117.63,33.94,36.0,447.0,95.0,2886.0,85.0,4.2578,178536.06,INLAND
194,3912,-118.55,34.19,18.0,5862.0,,3161.0,1280.0,3.1106,231154.01,<1H OCEAN
195,10883,-117.89,33.71,16.0,1591.0,225.0,926.0,239.0,6.2452,268851.0,<1H OCEAN
196,10569,-117.69,33.66,5.0,4246.0,689.0,1933.0,722.0,6.9501,313930.0,<1H OCEAN
197,8551,-118.35,33.88,25.0,1459.0,362.0,1150.0,354.0,3.35,305734.01,<1H OCEAN
198,6683,-118.09,34.16,45.0,2199.0,358.0,942.0,353.0,5.0393,279389.0,INLAND
199,9997,-121.05,39.11,7.0,2767.0,423.0,1143.0,382.0,3.6333,170446.0,INLAND
200,4169,-118.21,34.1,40.0,1684.0,316.0,795.0,330.0,5.2723,333271.0,<1H OCEAN
201,20020,-119.04,36.07,17.0,2623.0,659.0,1912.0,618.0,1.5893,61959.0,INLAND
202,13537,-117.3,34.15,33.0,1607.0,282.0,608.0,260.0,4.3438,123895.0,INLAND
203,6347,-117.75,34.06,44.0,477.0,135.0,502.0,117.0,2.0156,100016.99,INLAND
204,12455,-114.61,33.62,16.0,1187.0,261.0,1115.0,242.0,2.1759,65296.0,INLAND
205,13380,-117.61,34.13,21.0,8416.0,1386.0,4308.0,1341.0,4.4611,175933.0,INLAND
206,6894,-118.11,34.05,23.0,3436.0,565.0,1729.0,529.0,5.9941,288674.05,<1H OCEAN
207,3158,-118.95,35.26,24.0,1341.0,214.0,667.0,184.0,4.0,102201.0,INLAND
208,8454,-118.35,33.9,25.0,3309.0,902.0,2299.0,837.0,3.0417,297948.04,<1H OCEAN
209,3324,-122.89,38.93,20.0,1214.0,247.0,504.0,223.0,2.7188,156850.0,<1H OCEAN
210,9849,-121.89,36.6,40.0,626.0,164.0,337.0,150.0,2.7917,239148.0,<1H OCEAN
211,3398,-118.31,34.26,34.0,1797.0,363.0,948.0,363.0,4.1339,224942.02,<1H OCEAN
212,18061,-122.01,37.25,31.0,1574.0,193.0,551.0,191.0,10.2311,500001.0,<1H OCEAN
213,5392,-118.37,34.04,43.0,888.0,170.0,514.0,161.0,3.1827,364023.11,<1H OCEAN
214,14010,-117.19,32.76,52.0,1294.0,175.0,434.0,180.0,5.7914,373931.16,NEAR OCEAN
215,2130,-119.71,36.8,17.0,2056.0,366.0,1259.0,367.0,3.9338,122490.0,INLAND
216,13985,-117.28,34.68,28.0,1932.0,421.0,1156.0,404.0,1.8958,83068.0,INLAND
217,16631,-120.84,35.32,15.0,2419.0,538.0,1279.0,522.0,3.4762,229585.0,NEAR OCEAN
218,7145,-118.13,34.02,43.0,396.0,91.0,261.0,73.0,2.9044,139459.0,<1H OCEAN
219,12209,-117.02,33.6,7.0,1972.0,352.0,964.0,317.0,3.244,138191.0,INLAND
220,14957,-116.97,32.76,33.0,3071.0,466.0,1348.0,513.0,6.1768,301257.06,<1H OCEAN
221,10707,-117.71,33.61,26.0,3046.0,726.0,888.0,663.0,2.6848,152347.0,<1H OCEAN
222,1121,-121.58,39.79,19.0,2636.0,523.0,1184.0,465.0,2.7863,98166.0,INLAND
223,5787,-118.24,34.15,19.0,4852.0,1465.0,3171.0,1332.0,2.5924,226874.0,<1H OCEAN
224,19190,-122.68,38.44,29.0,2796.0,588.0,1346.0,562.0,2.9107,177705.0,<1H OCEAN
225,8033,-118.14,33.84,43.0,2107.0,439.0,876.0,429.0,3.2024,179699.0,<1H OCEAN
226,6083,-117.88,34.1,32.0,3357.0,621.0,1696.0,604.0,4.2685,202259.02,<1H OCEAN
227,10450,-117.67,33.44,25.0,2994.0,519.0,903.0,410.0,6.6852,302652.04,<1H OCEAN
228,17436,-120.47,34.64,16.0,1912.0,406.0,1009.0,417.0,3.4063,186549.0,NEAR OCEAN
229,17088,-122.22,37.47,23.0,7740.0,1943.0,4124.0,1743.0,3.3268,346000.18,NEAR OCEAN
230,491,-122.25,37.86,52.0,1709.0,318.0,719.0,295.0,5.0463,300892.03,NEAR BAY
231,6888,-118.11,34.06,30.0,1547.0,436.0,1700.0,410.0,2.5488,176038.0,<1H OCEAN
232,2530,-122.2,39.52,39.0,2551.0,482.0,1181.0,437.0,2.0625,65796.0,INLAND
233,2470,-119.9,36.58,20.0,1935.0,363.0,1319.0,359.0,2.4814,70721.0,INLAND
234,5617,-118.26,33.79,42.0,1162.0,264.0,1044.0,241.0,3.5488,213705.0,<1H OCEAN
235,17182,-122.51,37.53,17.0,1574.0,262.0,672.0,241.0,7.2929,397157.25,NEAR OCEAN
236,8438,-118.37,33.93,46.0,442.0,88.0,255.0,94.0,4.4474,326480.02,<1H OCEAN
237,4990,-118.31,33.99,48.0,2235.0,433.0,1363.0,433.0,1.6559,128099.0,<1H OCEAN
238,10831,-117.94,33.65,15.0,2016.0,443.0,1015.0,419.0,5.2732,234313.0,<1H OCEAN
239,5475,-118.46,34.0,44.0,941.0,230.0,493.0,206.0,3.6458,396463.26,<1H OCEAN
240,1765,-122.33,37.95,46.0,1543.0,339.0,777.0,322.0,4.0927,155742.0,NEAR BAY
241,13334,-117.67,34.05,6.0,2833.0,628.0,1717.0,589.0,3.2062,132493.0,INLAND
242,7048,-118.05,33.94,34.0,495.0,120.0,527.0,130.0,1.9453,141047.0,<1H OCEAN
243,7510,-118.27,33.89,32.0,1969.0,397.0,1349.0,370.0,4.4659,171780.0,<1H OCEAN
244,12204,-117.16,33.57,2.0,20391.0,3245.0,7132.0,2716.0,3.9443,202694.03,<1H OCEAN
245,8913,-118.46,34.03,27.0,1965.0,631.0,1042.0,596.0,2.75,357682.08,<1H OCEAN
246,15769,-122.44,37.77,52.0,5604.0,1268.0,2023.0,1196.0,4.4085,488807.84,NEAR BAY
247,851,-122.03,37.6,24.0,2077.0,383.0,1488.0,389.0,4.5721,209701.0,NEAR BAY
248,9037,-117.96,34.71,32.0,3511.0,646.0,1733.0,510.0,3.46,93685.0,INLAND
249,6058,-117.83,34.01,16.0,9446.0,1650.0,4911.0,1534.0,5.0111,232538.0,<1H OCEAN
250,3975,-118.62,34.2,29.0,2421.0,402.0,1120.0,388.0,5.0309,244253.01,<1H OCEAN
251,12797,-121.45,38.62,37.0,1534.0,315.0,1147.0,322.0,2.5643,85192.0,INLAND
252,16758,-122.48,37.71,39.0,3615.0,632.0,1571.0,615.0,5.1149,360020.03,NEAR OCEAN
253,9508,-123.22,39.15,45.0,1348.0,265.0,639.0,270.0,3.3667,123537.0,<1H OCEAN
254,18293,-122.11,37.39,36.0,1660.0,261.0,655.0,249.0,6.3967,396526.13,NEAR BAY
255,10542,-117.71,33.47,17.0,2681.0,454.0,830.0,410.0,5.5507,298760.01,<1H OCEAN
256,7893,-118.07,33.87,18.0,3405.0,556.0,1945.0,509.0,5.7652,279595.0,<1H OCEAN
257,771,-122.11,37.66,29.0,2544.0,643.0,2332.0,603.0,3.2091,190219.0,NEAR BAY
258,6286,-117.93,34.04,30.0,1336.0,239.0,905.0,253.0,4.8854,186167.0,<1H OCEAN
259,18198,-122.03,37.39,34.0,2600.0,650.0,1994.0,650.0,4.0223,257086.02,<1H OCEAN
260,8530,-118.35,33.9,31.0,1547.0,,956.0,287.0,3.4698,308302.05,<1H OCEAN
